id;date_commentaire;device;canal;sentiment_source;type_irritant;type_sinistre;anciennete_client;type_contrat;csat;gravite_sinistre;region_client;canal_resolution;commentaire;text_norm;sentiment_pred;score_sentiment;incident;categorie_principale;categorie_secondaire;score_categorie;methode_categorie;contradiction;theme;theme_detail;pipeline_version
1;2024-11-23;Android;Web;neg;photo;collision;3-10 ans;tous_risques;2;faible;Île-de-France;App;Très mécontent, les photos restent en attente à la fin du formulaire malgré plusieurs essais, du coup rien n'avance, merci quand même.;très mécontent les photos restent en attente à la fin du formulaire malgré plusieurs essais du coup rien n'avance merci quand même;Négatif;1.0;True;Déclaration / Dossier;;1.0;keywords;False;Déclaration / Dossier;;ASSURANCE_FINAL_v1
2;2024-03-22;iOS;App;neg;complexité;collision;0-1 an;tiers;2;moyenne;Pays de la Loire;Téléphone;Je suis déçu, c'est trop technique pour un sinistre simple et je perds tout, franchement je perds un temps fou, c'est pas sérieux.;je suis déçu c'est trop technique pour un sinistre simple et je perds tout franchement je perds un temps fou c'est pas sérieux;Négatif;1.0;True;Sinistre / Indemnisation;;1.0;keywords;False;Sinistre / Indemnisation;;ASSURANCE_FINAL_v1
3;2024-04-26;iOS;Email;pos;authentification;collision;3-10 ans;jeune_conducteur;4;faible;Auvergne-Rhône-Alpes;App;Très satisfait, ça bloque sur l'authentification quand je valide le code et j'ai pu finaliser sans stress, mais tout est bien expliqué, bravo à l'équipe.;très satisfait ça bloque sur l'authentification quand je valide le code et j'ai pu finaliser sans stress mais tout est bien expliqué bravo à l'équipe;Négatif;1.0;True;Compte / Connexion / Authentification;;3.0;keywords;False;Compte / Connexion / Authentification;;ASSURANCE_FINAL_v1
4;2024-04-22;iOS;Web;neu;photo;collision;1-3 ans;tiers;3;faible;Bourgogne-Franche-Comté;Email;Ça pourrait être mieux, l'envoi des clichés échoue sur l'étape des justificatifs, honnêtement j'ai dû m'y reprendre, j'attends une amélioration.;ça pourrait être mieux l'envoi des clichés échoue sur l'étape des justificatifs honnêtement j'ai dû m'y reprendre j'attends une amélioration;Neutre;0.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
5;2024-10-02;Android;Web;pos;lenteur;collision;10+ ans;tous_risques;4;moyenne;Bretagne;App;Merci, le site rame énormément quand je joins une pièce mais la résolution a été rapide, franchement j'ai eu une réponse rapide, service efficace.;merci le site rame énormément quand je joins une pièce mais la résolution a été rapide franchement j'ai eu une réponse rapide service efficace;Positif;3.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
6;2024-01-06;iOS;App;pos;bug;vol;1-3 ans;tiers;4;faible;Bourgogne-Franche-Comté;Email;Merci, ça me déconnecte tout seul sur mon téléphone et j'ai pu finaliser sans stress, donc j'ai eu une réponse rapide, service efficace.;merci ça me déconnecte tout seul sur mon téléphone et j'ai pu finaliser sans stress donc j'ai eu une réponse rapide service efficace;Positif;3.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
7;2024-09-28;Web;Web;neg;photo;collision;10+ ans;jeune_conducteur;1;faible;Bretagne;Email;Je suis déçu, la caméra ne s'ouvre pas même en 4G et je perds tout, honnêtement rien n'avance, j'espère que ça ira mieux.;je suis déçu la caméra ne s'ouvre pas même en g et je perds tout honnêtement rien n'avance j'espère que ça ira mieux;Négatif;1.0;True;Inconnu;;0.0;no_signal;False;Inconnu;;ASSURANCE_FINAL_v1
8;2024-09-27;Web;App;neg;parcours;bris_de_glace;1-3 ans;tiers;2;faible;Hauts-de-France;App;Je suis déçu, le parcours est confus pour une simple déclaration et je perds tout, bref ça bloque encore, j'ai fini par appeler.;je suis déçu le parcours est confus pour une simple déclaration et je perds tout bref ça bloque encore j'ai fini par appeler;Négatif;2.0;True;Support / Service client;;1.0;keywords;False;Support / Service client;;ASSURANCE_FINAL_v1
9;2024-01-31;Android;Téléphone;pos;photo;collision;3-10 ans;tiers;4;moyenne;Normandie;Web;Très satisfait, l'ajout des photos bloque au moment de valider au début, puis tout s'est débloqué rapidement, franchement le suivi était clair, service efficace.;très satisfait l'ajout des photos bloque au moment de valider au début puis tout s'est débloqué rapidement franchement le suivi était clair service efficace;Positif;2.0;False;Autre;;0.0;non_incident;False;Autre;;ASSURANCE_FINAL_v1
10;2024-12-10;iOS;Web;neg;bug;vol;0-1 an;tiers;2;faible;Auvergne-Rhône-Alpes;Web;Je suis déçu, l'application plante après la mise à jour et je perds tout, mais ça bloque encore, merci de corriger vite.;je suis déçu l'application plante après la mise à jour et je perds tout mais ça bloque encore merci de corriger vite;Négatif;3.0;True;Technique / Bug / Fonctionnalité;;3.0;keywords;False;Technique / Bug / Fonctionnalité;;ASSURANCE_FINAL_v1
