id,date,canal,csat,commentaire
ECO-0001,2025-11-01,Email,4,"Super expérience, commande reçue rapidement."
ECO-0002,2025-10-05,Chat,4,Produits conformes et livraison rapide.
ECO-0003,2025-12-23,Chat,3,"Je veux un remboursement, le paiement est passé mais la commande a disparu."
ECO-0004,2025-10-01,Web,2,La recherche ne renvoie pas les bons produits merci.
ECO-0005,2025-10-14,Email,3,On me renvoie de service en service. Je suis bloqué.
ECO-0006,2025-11-28,Web,1,On me renvoie de service en service merci.
ECO-0007,2025-12-19,Téléphone,3,J’ai reçu le mauvais colis merci.
ECO-0008,2025-11-07,Email,2,Le paiement échoue avec ma carte.
ECO-0009,2025-11-16,App,2,"Le site est compliqué, trop d'étapes pour commander rapidement."
ECO-0010,2025-10-22,Chat,2,Double prélèvement sur mon compte.
ECO-0011,2025-12-21,Chat,3,Je n’arrive pas à appliquer mon bon de réduction merci.
ECO-0012,2025-10-05,Web,5,"Interface claire, commande facile."
ECO-0013,2025-12-12,Chat,2,Le support ne répond pas à mon ticket svp.
ECO-0014,2025-12-22,App,4,"Service au top, merci !!!."
ECO-0015,2025-12-14,App,3,"Impossible de finaliser la commande, erreur au paiement depuis la mise à jour."
ECO-0016,2025-10-07,Chat,1,"Impossible de finaliser la commande, erreur au paiement depuis la mise à jour."
ECO-0017,2025-11-19,Web,5,"Très satisfaite, tout s'est bien passé !!!."
ECO-0018,2025-10-02,Téléphone,1,Le site se bloque sur l'écran de livraison depuis la mise à jour.
ECO-0019,2025-10-21,App,1,On me renvoie de service en service.
ECO-0020,2025-12-20,Chat,2,L’application plante au moment de payer depuis la mise à jour.
ECO-0021,2025-12-07,App,3,J’attends une réponse du service client depuis 3 jours depuis la mise à jour.
ECO-0022,2025-11-09,Chat,1,Je ne trouve pas le bouton pour modifier mon adresse.
ECO-0023,2025-10-09,Chat,2,Erreur 500 quand je valide ma commande.
ECO-0024,2025-12-17,Téléphone,4,"Service au top, merci depuis la mise à jour. J'ai essayé de redémarrer et ça ne change rien."
ECO-0025,2025-12-25,Web,5,"Très satisfaite, tout s'est bien passé merci."
ECO-0026,2025-10-09,Téléphone,1,Bug : impossible de sélectionner un point relais.
ECO-0027,2025-12-20,Email,2,L’application plante au moment de payer svp. Je voudrais un remboursement.
ECO-0028,2025-11-05,Chat,4,Le transporteur n'est jamais passé.
ECO-0029,2025-11-30,Chat,3,L’application plante au moment de payer rapidement.
ECO-0030,2025-11-22,Email,1,Ma livraison est en retard !!!. Où est mon colis ?
ECO-0031,2025-10-14,Chat,2,Retard de livraison depuis une semaine :(.
ECO-0032,2025-11-05,Email,2,Bug : impossible de sélectionner un point relais.
ECO-0033,2025-10-02,Chat,2,La recherche ne renvoie pas les bons produits. J'ai essayé de redémarrer et ça ne change rien.
ECO-0034,2025-10-08,Email,3,Je n’arrive pas à appliquer mon bon de réduction rapidement. Merci de corriger au plus vite.
ECO-0035,2025-12-29,Web,3,"Le site est compliqué, trop d'étapes pour commander rapidement."
ECO-0036,2025-12-14,App,1,"Impossible de finaliser la commande, erreur au paiement merci. Je perds beaucoup de temps."
ECO-0037,2025-12-07,Téléphone,1,Ma livraison est en retard rapidement. Où est mon colis ?
ECO-0038,2025-12-26,Web,2,Colis non reçu alors que marqué livré.
ECO-0039,2025-10-06,Web,1,J’ai reçu le mauvais colis svp.
ECO-0040,2025-11-03,App,3,Produits conformes et livraison rapide depuis la mise à jour.
ECO-0041,2025-11-08,Email,3,Double prélèvement sur mon compte !!!. Je voudrais un remboursement.
ECO-0042,2025-12-04,App,2,Retard de livraison depuis une semaine. C'est vraiment frustrant.
ECO-0043,2025-11-26,Téléphone,2,Colis non reçu alors que marqué livré :(.
