id,date,canal,csat,commentaire,texte,sentiment,blocking,blocking_reason,key_journey,theme,low_confidence
SAA-0001,2025-12-04,Chat,2,"Impossible d'exporter, ça crash. Merci de corriger au plus vite.","Impossible d'exporter, ça crash. Merci de corriger au plus vite.",Négatif,True,"impossible, erreur/bug/crash",Exporter,Produit / Fonctionnalité,False
SAA-0002,2025-12-16,Web,4,L’interface n’est pas intuitive. Merci de corriger au plus vite.,L’interface n’est pas intuitive. Merci de corriger au plus vite.,Positif,False,,Navigation,Recherche / Navigation,False
SAA-0003,2025-11-25,App,2,Le bouton 'Enregistrer' ne marche pas.,Le bouton 'Enregistrer' ne marche pas.,Négatif,True,ne marche/fonctionne pas,Sauvegarder,Blocage fonctionnel / Sauvegarder,False
SAA-0004,2025-12-12,App,4,"Support pro, merci :(. Je perds beaucoup de temps.","Support pro, merci :(. Je perds beaucoup de temps.",Positif,False,,Autre,Support,False
SAA-0005,2025-11-27,App,3,L’interface n’est pas intuitive.,L’interface n’est pas intuitive.,Neutre,False,,Navigation,Recherche / Navigation,False
SAA-0006,2025-11-20,Téléphone,5,Le produit répond à nos besoins. Je perds beaucoup de temps.,Le produit répond à nos besoins. Je perds beaucoup de temps.,Neutre,False,,Autre,Autre,True
SAA-0007,2025-11-21,Email,1,Erreur 500 quand je sauvegarde svp.,Erreur 500 quand je sauvegarde svp.,Négatif,True,erreur/bug/crash,Sauvegarder,Produit / Fonctionnalité,False
SAA-0008,2025-12-06,Téléphone,2,Mon mot de passe est refusé alors qu'il est correct :(.,Mon mot de passe est refusé alors qu'il est correct :(.,Négatif,True,échec/refus,Connexion,Paiement,False
SAA-0009,2025-11-10,Téléphone,3,Trop de clics pour faire une action simple :(.,Trop de clics pour faire une action simple :(.,Neutre,False,,Autre,UX / Complexité,False
SAA-0010,2025-12-05,Téléphone,3,"Je veux escalader, c’est bloquant :(.","Je veux escalader, c’est bloquant :(.",Neutre,False,,Autre,Autre,True
SAA-0011,2025-12-26,Téléphone,3,"Impossible d'exporter, ça crash.","Impossible d'exporter, ça crash.",Négatif,True,"impossible, erreur/bug/crash",Exporter,Produit / Fonctionnalité,False
SAA-0012,2025-12-23,Email,2,L'app plante dès que j'ouvre le module rapports rapidement.,L'app plante dès que j'ouvre le module rapports rapidement.,Positif,False,,Autre,Autre,True
SAA-0013,2025-12-19,Chat,3,Je ne trouve pas l’historique des actions.,Je ne trouve pas l’historique des actions.,Neutre,False,,Historique,Produit / Fonctionnalité,False
SAA-0014,2025-12-29,Email,4,Produit stable et simple à utiliser.,Produit stable et simple à utiliser.,Neutre,False,,Autre,Autre,True
SAA-0015,2025-10-27,Email,4,Problème de renouvellement d’abonnement !!!. Je voudrais un remboursement.,Problème de renouvellement d’abonnement !!!. Je voudrais un remboursement.,Neutre,False,,Autre,Paiement,False
SAA-0016,2025-12-24,Web,3,Je n’ai pas eu de solution via le ticket depuis la mise à jour. Je suis bloqué.,Je n’ai pas eu de solution via le ticket depuis la mise à jour. Je suis bloqué.,Négatif,True,"bloqué/bloque, je suis bloqué",Autre,Support,False
SAA-0017,2025-11-13,App,3,Erreur 500 quand je sauvegarde rapidement.,Erreur 500 quand je sauvegarde rapidement.,Négatif,True,erreur/bug/crash,Sauvegarder,Produit / Fonctionnalité,False
SAA-0018,2025-11-05,Chat,2,Je ne trouve pas l’historique des actions svp.,Je ne trouve pas l’historique des actions svp.,Neutre,False,,Historique,Produit / Fonctionnalité,False
SAA-0019,2025-12-02,App,4,Bug d'affichage sur mobile svp.,Bug d'affichage sur mobile svp.,Négatif,True,erreur/bug/crash,Autre,Bug technique,False
SAA-0020,2025-12-09,App,3,L’interface n’est pas intuitive merci. Je voudrais un remboursement.,L’interface n’est pas intuitive merci. Je voudrais un remboursement.,Positif,False,,Navigation,Retour / Remboursement,False
SAA-0021,2025-10-11,App,5,Produit stable et simple à utiliser merci. Je voudrais un remboursement.,Produit stable et simple à utiliser merci. Je voudrais un remboursement.,Positif,False,,Autre,Retour / Remboursement,False
SAA-0022,2025-11-04,App,4,Le chat bot ne comprend pas ma demande svp. J'ai essayé de redémarrer et ça ne change rien.,Le chat bot ne comprend pas ma demande svp. J'ai essayé de redémarrer et ça ne change rien.,Neutre,False,,Autre,Support,False
SAA-0023,2025-12-25,Chat,2,L'application est très lente svp.,L'application est très lente svp.,Neutre,False,,Autre,Performance,False
SAA-0024,2025-11-30,Email,2,"Impossible de me connecter, ça bloque au login !!!.","Impossible de me connecter, ça bloque au login !!!.",Négatif,True,"impossible, bloqué/bloque",Connexion,Connexion / Auth,False
SAA-0025,2025-11-30,Chat,4,Trop de clics pour faire une action simple !!!.,Trop de clics pour faire une action simple !!!.,Neutre,False,,Autre,UX / Complexité,False
SAA-0026,2025-10-08,Téléphone,4,Bonne expérience globale :(.,Bonne expérience globale :(.,Neutre,False,,Autre,Promo / Réduction,False
SAA-0027,2025-10-23,Email,2,La synchro prend des minutes.,La synchro prend des minutes.,Neutre,False,,Synchroniser,Produit / Fonctionnalité,False
SAA-0028,2025-11-07,App,4,"Support pro, merci rapidement. Je voudrais un remboursement.","Support pro, merci rapidement. Je voudrais un remboursement.",Positif,False,,Autre,Retour / Remboursement,False
SAA-0029,2025-11-12,Téléphone,3,Les filtres sont difficiles à utiliser.,Les filtres sont difficiles à utiliser.,Neutre,False,,Navigation,Recherche / Navigation,False
SAA-0030,2025-11-29,Email,2,Je ne trouve pas l’historique des actions.,Je ne trouve pas l’historique des actions.,Neutre,False,,Historique,Produit / Fonctionnalité,False
SAA-0031,2025-10-24,App,3,Erreur 500 quand je sauvegarde rapidement.,Erreur 500 quand je sauvegarde rapidement.,Négatif,True,erreur/bug/crash,Sauvegarder,Produit / Fonctionnalité,False
SAA-0032,2025-12-21,Téléphone,3,Trop de clics pour faire une action simple.,Trop de clics pour faire une action simple.,Neutre,False,,Autre,UX / Complexité,False
SAA-0033,2025-10-24,App,4,L'app plante dès que j'ouvre le module rapports !!!.,L'app plante dès que j'ouvre le module rapports !!!.,Neutre,False,,Autre,Autre,True
SAA-0034,2025-11-27,App,2,L'application est très lente merci.,L'application est très lente merci.,Positif,False,,Autre,Satisfaction,False
SAA-0035,2025-11-16,Email,2,Le bouton 'Enregistrer' ne marche pas.,Le bouton 'Enregistrer' ne marche pas.,Négatif,True,ne marche/fonctionne pas,Sauvegarder,Blocage fonctionnel / Sauvegarder,False
SAA-0036,2025-11-21,App,3,Le support est lent à répondre rapidement.,Le support est lent à répondre rapidement.,Positif,False,,Autre,Support,False
SAA-0037,2025-10-29,Web,2,Le support est lent à répondre merci.,Le support est lent à répondre merci.,Positif,False,,Autre,Support,False
SAA-0038,2025-12-10,Chat,2,Temps de réponse énorme sur la recherche :(.,Temps de réponse énorme sur la recherche :(.,Neutre,False,,Navigation,Recherche / Navigation,False
SAA-0039,2025-12-07,Email,2,On me demande de répéter les infos à chaque fois.,On me demande de répéter les infos à chaque fois.,Neutre,False,,Autre,Autre,True
SAA-0040,2025-12-04,Téléphone,3,Je ne comprends pas où configurer les rôles.,Je ne comprends pas où configurer les rôles.,Neutre,False,,Configuration,Produit / Fonctionnalité,False
SAA-0041,2025-11-26,Téléphone,2,Les pages mettent trop longtemps à charger :(.,Les pages mettent trop longtemps à charger :(.,Neutre,False,,Navigation,Recherche / Navigation,False
SAA-0042,2025-10-08,Téléphone,2,Je n'ai pas accès à ma facture depuis la mise à jour.,Je n'ai pas accès à ma facture depuis la mise à jour.,Neutre,False,,Autre,Paiement,False
SAA-0043,2025-12-26,Email,2,La facture n’est pas au bon montant.,La facture n’est pas au bon montant.,Neutre,False,,Autre,Paiement,False
SAA-0044,2025-12-14,Web,1,Problème de renouvellement d’abonnement.,Problème de renouvellement d’abonnement.,Neutre,False,,Autre,Paiement,False
SAA-0045,2025-10-09,App,1,L'app plante dès que j'ouvre le module rapports depuis la mise à jour.,L'app plante dès que j'ouvre le module rapports depuis la mise à jour.,Neutre,False,,Autre,Autre,True
SAA-0046,2025-12-22,Web,3,Le prélèvement a été fait deux fois.,Le prélèvement a été fait deux fois.,Neutre,False,,Autre,Paiement,False
SAA-0047,2025-12-09,Email,3,La facture n’est pas au bon montant !!!. Je voudrais un remboursement.,La facture n’est pas au bon montant !!!. Je voudrais un remboursement.,Neutre,False,,Autre,Paiement,False
SAA-0048,2025-10-29,Email,1,La synchro prend des minutes !!!.,La synchro prend des minutes !!!.,Neutre,False,,Synchroniser,Produit / Fonctionnalité,False
SAA-0049,2025-11-18,Chat,2,"Impossible d'exporter, ça crash depuis la mise à jour.","Impossible d'exporter, ça crash depuis la mise à jour.",Négatif,True,"impossible, erreur/bug/crash",Exporter,Produit / Fonctionnalité,False
SAA-0050,2025-10-15,Téléphone,3,Problème de renouvellement d’abonnement.,Problème de renouvellement d’abonnement.,Neutre,False,,Autre,Paiement,False
SAA-0051,2025-12-16,Téléphone,5,"Très bon outil, je le recommande svp. Je perds beaucoup de temps.","Très bon outil, je le recommande svp. Je perds beaucoup de temps.",Neutre,False,,Autre,Commande,False
SAA-0052,2025-11-21,Téléphone,2,Le support est lent à répondre svp.,Le support est lent à répondre svp.,Neutre,False,,Autre,Support,False
SAA-0053,2025-11-07,Téléphone,3,L'application est très lente.,L'application est très lente.,Neutre,False,,Autre,Performance,False
SAA-0054,2025-10-19,Chat,3,L’interface n’est pas intuitive svp.,L’interface n’est pas intuitive svp.,Neutre,False,,Navigation,Recherche / Navigation,False
SAA-0055,2025-10-23,Téléphone,3,Problème de renouvellement d’abonnement merci. J'ai essayé de redémarrer et ça ne change rien.,Problème de renouvellement d’abonnement merci. J'ai essayé de redémarrer et ça ne change rien.,Positif,False,,Autre,Paiement,False
SAA-0056,2025-12-25,Web,3,Je n'ai pas accès à ma facture :(.,Je n'ai pas accès à ma facture :(.,Neutre,False,,Autre,Paiement,False
SAA-0057,2025-12-08,Chat,2,Le prélèvement a été fait deux fois merci.,Le prélèvement a été fait deux fois merci.,Positif,False,,Autre,Paiement,False
SAA-0058,2025-12-11,Téléphone,3,Erreur 500 quand je sauvegarde rapidement.,Erreur 500 quand je sauvegarde rapidement.,Négatif,True,erreur/bug/crash,Sauvegarder,Produit / Fonctionnalité,False
SAA-0059,2025-10-27,Email,4,Trop de clics pour faire une action simple !!!.,Trop de clics pour faire une action simple !!!.,Neutre,False,,Autre,UX / Complexité,False
SAA-0060,2025-10-25,Web,2,Problème de renouvellement d’abonnement.,Problème de renouvellement d’abonnement.,Neutre,False,,Autre,Paiement,False
SAA-0061,2025-10-25,Téléphone,3,On me demande de répéter les infos à chaque fois.,On me demande de répéter les infos à chaque fois.,Neutre,False,,Autre,Autre,True
SAA-0062,2025-11-12,Chat,1,Temps de réponse énorme sur la recherche svp.,Temps de réponse énorme sur la recherche svp.,Neutre,False,,Navigation,Recherche / Navigation,False
SAA-0063,2025-12-29,Web,2,L'application est très lente rapidement.,L'application est très lente rapidement.,Positif,False,,Autre,Performance,False
SAA-0064,2025-11-18,App,3,La synchro prend des minutes :(.,La synchro prend des minutes :(.,Neutre,False,,Synchroniser,Produit / Fonctionnalité,False
SAA-0065,2025-11-29,App,4,Bug d'affichage sur mobile depuis la mise à jour.,Bug d'affichage sur mobile depuis la mise à jour.,Négatif,True,erreur/bug/crash,Autre,Bug technique,False
SAA-0066,2025-12-12,Chat,2,Le tableau de bord freeze souvent :(.,Le tableau de bord freeze souvent :(.,Neutre,False,,Autre,Autre,True
SAA-0067,2025-12-14,App,3,Je n'arrive pas à réinitialiser mon mot de passe depuis la mise à jour.,Je n'arrive pas à réinitialiser mon mot de passe depuis la mise à jour.,Neutre,False,,Connexion,Connexion / Auth,False
SAA-0068,2025-12-12,Web,2,Les pages mettent trop longtemps à charger :(.,Les pages mettent trop longtemps à charger :(.,Neutre,False,,Navigation,Recherche / Navigation,False
SAA-0069,2025-12-02,Web,4,L’interface n’est pas intuitive merci.,L’interface n’est pas intuitive merci.,Positif,False,,Navigation,Recherche / Navigation,False
SAA-0070,2025-12-09,Téléphone,2,Le prélèvement a été fait deux fois :(. Je voudrais un remboursement.,Le prélèvement a été fait deux fois :(. Je voudrais un remboursement.,Neutre,False,,Autre,Paiement,False
SAA-0071,2025-12-25,Web,1,Le support est lent à répondre depuis la mise à jour. Je perds beaucoup de temps.,Le support est lent à répondre depuis la mise à jour. Je perds beaucoup de temps.,Neutre,False,,Autre,Support,False
SAA-0072,2025-10-02,App,4,Les pages mettent trop longtemps à charger.,Les pages mettent trop longtemps à charger.,Neutre,False,,Navigation,Recherche / Navigation,False
SAA-0073,2025-10-03,Email,3,Connexion impossible depuis ce matin rapidement.,Connexion impossible depuis ce matin rapidement.,Négatif,True,impossible,Connexion,Connexion / Auth,False
SAA-0074,2025-11-06,Chat,3,Connexion impossible depuis ce matin merci.,Connexion impossible depuis ce matin merci.,Négatif,True,impossible,Connexion,Connexion / Auth,False
SAA-0075,2025-12-19,App,2,"Impossible de me connecter, ça bloque au login depuis la mise à jour. C'est vraiment frustrant.","Impossible de me connecter, ça bloque au login depuis la mise à jour. C'est vraiment frustrant.",Négatif,True,"impossible, bloqué/bloque",Connexion,Connexion / Auth,False
SAA-0076,2025-11-21,Chat,2,"Impossible d'exporter, ça crash.","Impossible d'exporter, ça crash.",Négatif,True,"impossible, erreur/bug/crash",Exporter,Produit / Fonctionnalité,False
SAA-0077,2025-11-18,Email,4,L'app plante dès que j'ouvre le module rapports. Merci de corriger au plus vite.,L'app plante dès que j'ouvre le module rapports. Merci de corriger au plus vite.,Positif,False,,Autre,Satisfaction,False
SAA-0078,2025-12-22,Téléphone,2,Le support est lent à répondre. Merci de corriger au plus vite.,Le support est lent à répondre. Merci de corriger au plus vite.,Positif,False,,Autre,Support,False
SAA-0079,2025-10-30,Téléphone,3,"Très bon outil, je le recommande depuis la mise à jour.","Très bon outil, je le recommande depuis la mise à jour.",Neutre,False,,Autre,Commande,False
SAA-0080,2025-12-27,Chat,1,Problème de renouvellement d’abonnement.,Problème de renouvellement d’abonnement.,Neutre,False,,Autre,Paiement,False
SAA-0081,2025-12-15,Web,3,Bonne expérience globale.,Bonne expérience globale.,Neutre,False,,Autre,Promo / Réduction,False
SAA-0082,2025-12-12,Téléphone,3,Je n'arrive pas à réinitialiser mon mot de passe.,Je n'arrive pas à réinitialiser mon mot de passe.,Neutre,False,,Connexion,Connexion / Auth,False
SAA-0083,2025-12-28,Téléphone,1,"Impossible d'exporter, ça crash.","Impossible d'exporter, ça crash.",Négatif,True,"impossible, erreur/bug/crash",Exporter,Produit / Fonctionnalité,False
SAA-0084,2025-10-10,Téléphone,3,"Je veux escalader, c’est bloquant. C'est vraiment frustrant.","Je veux escalader, c’est bloquant. C'est vraiment frustrant.",Neutre,False,,Autre,Autre,True
SAA-0085,2025-11-27,App,2,Je ne trouve pas l’historique des actions :(. Je suis bloqué.,Je ne trouve pas l’historique des actions :(. Je suis bloqué.,Négatif,True,"bloqué/bloque, je suis bloqué",Historique,Produit / Fonctionnalité,False
SAA-0086,2025-12-24,Téléphone,1,Je ne trouve pas l’historique des actions !!!. J'ai essayé de redémarrer et ça ne change rien.,Je ne trouve pas l’historique des actions !!!. J'ai essayé de redémarrer et ça ne change rien.,Neutre,False,,Historique,Produit / Fonctionnalité,False
SAA-0087,2025-11-18,Web,2,Erreur 500 quand je sauvegarde. C'est vraiment frustrant.,Erreur 500 quand je sauvegarde. C'est vraiment frustrant.,Négatif,True,erreur/bug/crash,Sauvegarder,Produit / Fonctionnalité,False
SAA-0088,2025-11-26,Email,2,Bug d'affichage sur mobile. Je suis bloqué.,Bug d'affichage sur mobile. Je suis bloqué.,Négatif,True,"bloqué/bloque, je suis bloqué, erreur/bug/crash",Autre,Bug technique,False
SAA-0089,2025-12-11,Email,3,L'application est très lente.,L'application est très lente.,Neutre,False,,Autre,Performance,False
