id,date,canal,csat,commentaire
SAA-0001,2025-12-04,Chat,2,"Impossible d'exporter, ça crash. Merci de corriger au plus vite."
SAA-0002,2025-12-16,Web,4,L’interface n’est pas intuitive. Merci de corriger au plus vite.
SAA-0003,2025-11-25,App,2,Le bouton 'Enregistrer' ne marche pas.
SAA-0004,2025-12-12,App,4,"Support pro, merci :(. Je perds beaucoup de temps."
SAA-0005,2025-11-27,App,3,L’interface n’est pas intuitive.
SAA-0006,2025-11-20,Téléphone,5,Le produit répond à nos besoins. Je perds beaucoup de temps.
SAA-0007,2025-11-21,Email,1,Erreur 500 quand je sauvegarde svp.
SAA-0008,2025-12-06,Téléphone,2,Mon mot de passe est refusé alors qu'il est correct :(.
SAA-0009,2025-11-10,Téléphone,3,Trop de clics pour faire une action simple :(.
SAA-0010,2025-12-05,Téléphone,3,"Je veux escalader, c’est bloquant :(."
SAA-0011,2025-12-26,Téléphone,3,"Impossible d'exporter, ça crash."
SAA-0012,2025-12-23,Email,2,L'app plante dès que j'ouvre le module rapports rapidement.
SAA-0013,2025-12-19,Chat,3,Je ne trouve pas l’historique des actions.
SAA-0014,2025-12-29,Email,4,Produit stable et simple à utiliser.
SAA-0015,2025-10-27,Email,4,Problème de renouvellement d’abonnement !!!. Je voudrais un remboursement.
SAA-0016,2025-12-24,Web,3,Je n’ai pas eu de solution via le ticket depuis la mise à jour. Je suis bloqué.
SAA-0017,2025-11-13,App,3,Erreur 500 quand je sauvegarde rapidement.
SAA-0018,2025-11-05,Chat,2,Je ne trouve pas l’historique des actions svp.
SAA-0019,2025-12-02,App,4,Bug d'affichage sur mobile svp.
SAA-0020,2025-12-09,App,3,L’interface n’est pas intuitive merci. Je voudrais un remboursement.
SAA-0021,2025-10-11,App,5,Produit stable et simple à utiliser merci. Je voudrais un remboursement.
SAA-0022,2025-11-04,App,4,Le chat bot ne comprend pas ma demande svp. J'ai essayé de redémarrer et ça ne change rien.
SAA-0023,2025-12-25,Chat,2,L'application est très lente svp.
SAA-0024,2025-11-30,Email,2,"Impossible de me connecter, ça bloque au login !!!."
SAA-0025,2025-11-30,Chat,4,Trop de clics pour faire une action simple !!!.
SAA-0026,2025-10-08,Téléphone,4,Bonne expérience globale :(.
SAA-0027,2025-10-23,Email,2,La synchro prend des minutes.
SAA-0028,2025-11-07,App,4,"Support pro, merci rapidement. Je voudrais un remboursement."
SAA-0029,2025-11-12,Téléphone,3,Les filtres sont difficiles à utiliser.
SAA-0030,2025-11-29,Email,2,Je ne trouve pas l’historique des actions.
SAA-0031,2025-10-24,App,3,Erreur 500 quand je sauvegarde rapidement.
SAA-0032,2025-12-21,Téléphone,3,Trop de clics pour faire une action simple.
SAA-0033,2025-10-24,App,4,L'app plante dès que j'ouvre le module rapports !!!.
SAA-0034,2025-11-27,App,2,L'application est très lente merci.
SAA-0035,2025-11-16,Email,2,Le bouton 'Enregistrer' ne marche pas.
SAA-0036,2025-11-21,App,3,Le support est lent à répondre rapidement.
SAA-0037,2025-10-29,Web,2,Le support est lent à répondre merci.
SAA-0038,2025-12-10,Chat,2,Temps de réponse énorme sur la recherche :(.
SAA-0039,2025-12-07,Email,2,On me demande de répéter les infos à chaque fois.
SAA-0040,2025-12-04,Téléphone,3,Je ne comprends pas où configurer les rôles.
SAA-0041,2025-11-26,Téléphone,2,Les pages mettent trop longtemps à charger :(.
SAA-0042,2025-10-08,Téléphone,2,Je n'ai pas accès à ma facture depuis la mise à jour.
